#basename     Sc       EC       nBSA     nBSA_p     nBSA_np    FracI         Ld        ACI        slope     Y-inter  Pearsons(r)   logN      log_asp  delGb_exp Nintres dGexp_Norm
1EMV_A_B    0.713    0.339    0.13587    0.12610    0.14368    0.21963     0.11111    2.76000   -1.45756   -0.47583   -0.93020     2.33041    0.1981   -18.580     50   -0.37160
1DFJ_E_I    0.584    0.151    0.11120    0.11428    0.10853    0.15517     0.07598    2.64516   -2.16789   -0.32238   -0.98018     2.76343    0.5655   -18.050     62   -0.29113
2PTC_E_I    0.766   -0.074    0.12277    0.10891    0.13441    0.17021     0.15873    2.70000   -2.37410   -0.21357   -0.99403     2.44871    0.5848   -18.040     20   -0.90200
1UUG_A_B    0.604    0.558    0.15198    0.11318    0.18459    0.20724     0.10084    2.45833   -1.97398   -0.32980   -0.96067     2.48287    0.4325   -18.000     48   -0.37500
1BRS_A_D    0.718    0.344    0.16927    0.17117    0.16773    0.22051     0.16667    4.04545   -0.96209   -0.62137   -0.94436     2.29003    0.0939   -17.320     44   -0.39364
2SNI_E_I    0.722    0.015    0.12840    0.10072    0.14913    0.14076     0.13393    3.20000   -2.17891   -0.29839   -0.97913     2.53020    0.6331   -15.960     30   -0.53200
1I2M_A_B    0.626    0.091    0.12846    0.14394    0.11547    0.14647     0.08222    3.91892   -1.97652   -0.37898   -0.85752     2.74273    0.3713   -15.830     74   -0.21392
1PPE_E_I    0.746    0.004    0.16944    0.15183    0.18380    0.21825     0.12857    2.27778   -1.98783   -0.31937   -0.99600     2.40140    0.8859   -15.560     36   -0.43222
1JIW_P_I    0.750   -0.384    0.08908    0.07880    0.09778    0.10616     0.09524    2.60714   -1.06299   -0.46833   -0.93104     2.75967    0.6509   -15.550     56   -0.27768
1BVN_P_T    0.600   -0.145    0.11124    0.09271    0.12740    0.12500     0.10833    3.11538   -1.58316   -0.43866   -0.93421     2.75358    0.8442   -15.060     52   -0.28962
3SGB_E_I    0.785    0.120    0.14262    0.10082    0.17995    0.17949     0.17857    2.90000   -1.00000   -0.30103   -1.00000     2.37107    0.5682   -14.510     20   -0.72550
1MAH_A_F    0.605    0.222    0.09720    0.08890    0.10312    0.09933     0.09630    2.96154   -1.64844   -0.41108   -0.98199     2.77379    0.9414   -14.510     52   -0.27904
1JTD_B_A    0.531    0.292    0.11471    0.11110    0.11762    0.11852     0.09667    2.93103   -1.79909   -0.36050   -0.96419     2.72835    0.0178   -14.410     58   -0.24845
1F34_A_B    0.604   -0.068    0.15884    0.15006    0.16544    0.21382     0.06767    1.81481   -2.30346   -0.21885   -0.96209     2.66558    0.3720   -14.190     54   -0.26278
1R0R_E_I    0.770    0.146    0.11841    0.08770    0.14462    0.14373     0.13846    2.55556   -1.90702   -0.34195   -0.98165     2.51188    0.7301   -14.170     36   -0.39361
1EAW_A_B    0.667    0.098    0.19790    0.19743    0.19827    0.21429     0.12821    2.95000   -1.93651   -0.40034   -0.94870     2.47276    0.6338   -14.060     40   -0.35150
2SIC_E_I    0.735   -0.035    0.11415    0.08863    0.13290    0.12760     0.10714    3.46667   -2.63360   -0.16707   -0.99324     2.58206    0.4099   -13.840     30   -0.46133
2VDB_A_B    0.691    0.104    0.05843    0.05211    0.06189    0.07631     0.10381    2.06667   -1.77286   -0.41917   -0.85507     2.79865    1.0185   -13.400     60   -0.22333
2J0T_A_D    0.775   -0.761    0.10640    0.09489    0.11600    0.17241     0.09804    2.40000   -1.92446   -0.35642   -0.97044     2.45484    0.1134   -13.340     40   -0.33350
1GL1_A_I    0.731    0.051    0.13603    0.09126    0.17144    0.18182     0.13889    1.73333   -2.17948   -0.25879   -0.90463     2.43616    0.8469   -13.230     30   -0.44100
1AY7_A_B    0.746    0.416    0.13495    0.13767    0.13276    0.20000     0.21111    3.36842   -0.83197   -0.66508   -0.96298     2.26717    0.0328   -13.230     38   -0.34816
1T6B_X_Y    0.595    0.231    0.05158    0.04822    0.05458    0.06933     0.10667    2.29167   -1.91118   -0.34617   -0.95060     2.92737    0.5995   -13.100     48   -0.27292
1ACB_E_I    0.699    0.289    0.11727    0.07584    0.15261    0.16118     0.12879    3.00000   -2.14044   -0.28689   -0.85735     2.48287    0.5826   -13.050     34   -0.38382
1PXV_A_C    0.731    0.231    0.15509    0.12250    0.18348    0.22789     0.10938    2.96429   -1.89095   -0.40199   -0.94844     2.46835    0.2171   -12.970     56   -0.23161
1JTG_B_A    0.588    0.492    0.15724    0.14053    0.17005    0.17523     0.07895    3.13333   -2.05252   -0.32711   -0.92537     2.63043    0.2008   -12.820     60   -0.21367
1AVX_A_B    0.741    0.002    0.09732    0.08780    0.10524    0.13384     0.12500    3.35000   -1.86439   -0.41540   -0.97800     2.59660    0.1127   -12.500     40   -0.31250
1KXP_A_D    0.613    0.369    0.09251    0.06980    0.10909    0.12310     0.05942    2.46341   -2.24879   -0.27716   -0.92012     2.89597    0.0986   -12.340     82   -0.15049
